;From;To;X_from;Y_from;X_to;Y_to;distance
0;1;7;-3.5;21.81;-3.42;18.3;3.510911562543264
1;8;7;-3.65;18.04;-3.42;18.3;0.3471310991541967
2;9;7;-3.18;18.05;-3.42;18.3;0.346554469023269
3;10;7;-3.41;17.82;-3.42;18.3;0.4801041553663125
4;2;11;-2.37;21.84;-2.29;18.32;3.5209089735464616
5;12;11;-2.28;17.72;-2.29;18.32;0.6000833275471014
6;13;11;-2.52;18.07;-2.29;18.32;0.5543110144820138
7;3;8;-5.16;18.0;-3.65;18.04;1.5105297084135754
8;7;8;-3.42;18.3;-3.65;18.04;0.3471310991541967
9;9;8;-3.18;18.05;-3.65;18.04;0.4701063709417261
10;10;8;-3.41;17.82;-3.65;18.04;0.3255764119219931
11;4;18;-5.1;17.26;-3.63;17.29;1.4703060905811411
12;16;18;-3.17;17.3;-3.63;17.29;0.4601086828130936
13;17;18;-3.4;17.56;-3.63;17.29;0.3546829570193636
14;19;18;-3.39;17.04;-3.63;17.29;0.346554469023269
15;5;29;-4.53;1.44;-3.26;1.47;1.274154514319335
16;26;29;-3.04;1.85;-3.26;1.47;0.4390899680020029
17;27;29;-2.81;1.49;-3.26;1.47;0.450444225182208
18;28;29;-3.01;1.11;-3.26;1.47;0.5819143089945068
19;6;33;-4.46;-0.03;-3.24;0.01;1.3053491579878107
20;34;33;-3.0;0.5;-3.24;0.01;0.5456189146281497
21;35;33;-2.76;0.01;-3.24;0.01;0.6406991026876749
22;7;1;-3.42;18.3;-3.5;21.81;3.510911562543264
23;7;9;-3.42;18.3;-3.18;18.05;0.346554469023269
24;8;9;-3.65;18.04;-3.18;18.05;0.4701063709417261
25;10;9;-3.41;17.82;-3.18;18.05;0.3252691193458121
26;13;9;-2.52;18.07;-3.18;18.05;0.6603029607687673
27;7;10;-3.42;18.3;-3.41;17.82;0.4801041553663125
28;8;10;-3.65;18.04;-3.41;17.82;0.3255764119219931
29;9;10;-3.18;18.05;-3.41;17.82;0.3252691193458121
30;17;10;-3.4;17.56;-3.41;17.82;0.40302030056442606
31;8;3;-3.65;18.04;-5.16;18.0;1.5105297084135754
32;9;13;-3.18;18.05;-2.52;18.07;0.6603029607687673
33;11;13;-2.29;18.32;-2.52;18.07;0.3397057550292605
34;12;13;-2.28;17.72;-2.52;18.07;0.572119480311361
35;10;17;-3.41;17.82;-3.4;17.56;0.42420112763878326
36;16;17;-3.17;17.3;-3.4;17.56;0.3471310991541941
37;18;17;-3.63;17.29;-3.4;17.56;0.3546829570193636
38;19;17;-3.39;17.04;-3.4;17.56;0.5200961449578333
39;11;2;-2.29;18.32;-2.37;21.84;3.5209089735464616
40;11;12;-2.29;18.32;-2.28;17.72;0.6000833275471014
41;13;12;-2.52;18.07;-2.28;17.72;0.4243819034784601
42;14;12;-2.26;17.06;-2.28;17.72;0.6603029607687673
43;15;12;-2.51;17.32;-2.28;17.72;0.5789593612344597
44;12;15;-2.28;17.72;-2.51;17.32;0.4614108798023719
45;14;15;-2.26;17.06;-2.51;17.32;0.5930969631301175
46;16;15;-3.17;17.3;-2.51;17.32;0.6603029607687673
47;12;14;-2.28;17.72;-2.26;17.06;0.6603029607687673
48;15;14;-2.51;17.32;-2.26;17.06;0.3606937759374298
49;21;14;-2.16;12.69;-2.26;17.06;4.371144015014833
50;14;21;-2.26;17.06;-2.16;12.69;4.371144015014833
51;20;21;-2.6;12.07;-2.16;12.69;0.9051191342756462
52;15;16;-2.51;17.32;-3.17;17.3;0.6603029607687673
53;17;16;-3.4;17.56;-3.17;17.3;0.5902378867896847
54;18;16;-3.63;17.29;-3.17;17.3;0.4601086828130936
55;19;16;-3.39;17.04;-3.17;17.3;0.3405877273185294
56;16;19;-3.17;17.3;-3.39;17.04;0.5220644083812814
57;17;19;-3.4;17.56;-3.39;17.04;0.5200961449578333
58;18;19;-3.63;17.29;-3.39;17.04;0.346554469023269
59;22;19;-3.29;12.68;-3.39;17.04;5.032395056034451
60;18;4;-3.63;17.29;-5.1;17.26;1.4703060905811411
61;19;22;-3.39;17.04;-3.29;12.68;4.36573649271806
62;20;22;-2.6;12.07;-3.29;12.68;0.9209777413162596
63;20;23;-2.6;12.07;-2.62;8.95;3.2036175060200827
64;24;23;-2.06;8.25;-2.62;8.95;0.8964373932405982
65;25;23;-3.18;8.21;-2.62;8.95;0.9280086206496132
66;21;20;-2.16;12.69;-2.6;12.07;1.1300442469213317
67;22;20;-3.29;12.68;-2.6;12.07;0.9209777413162596
68;23;20;-2.62;8.95;-2.6;12.07;3.1761535260785037
69;23;24;-2.62;8.95;-2.06;8.25;0.8964373932405982
70;30;24;-1.92;1.88;-2.06;8.25;6.371538275801221
71;23;25;-2.62;8.95;-3.18;8.21;0.9280086206496132
72;26;25;-3.04;1.85;-3.18;8.21;6.36154069388855
73;24;30;-2.06;8.25;-1.92;1.88;6.371538275801221
74;31;30;-2.15;1.5;-1.92;1.88;0.4441846462902561
75;32;30;-1.9;1.14;-1.92;1.88;0.7402702209328699
76;25;26;-3.18;8.21;-3.04;1.85;6.36154069388855
77;27;26;-2.81;1.49;-3.04;1.85;0.4272001872658766
78;28;26;-3.01;1.11;-3.04;1.85;0.740607858451421
79;29;26;-3.26;1.47;-3.04;1.85;0.6646414038909502
80;26;27;-3.04;1.85;-2.81;1.49;0.4272001872658766
81;28;27;-3.01;1.11;-2.81;1.49;0.4294182110716775
82;29;27;-3.26;1.47;-2.81;1.49;0.450444225182208
83;31;27;-2.15;1.5;-2.81;1.49;0.6600757532283702
84;26;28;-3.04;1.85;-3.01;1.11;0.740607858451421
85;27;28;-2.81;1.49;-3.01;1.11;0.4294182110716775
86;29;28;-3.26;1.47;-3.01;1.11;0.4382921400162224
87;34;28;-3.0;0.5;-3.01;1.11;0.6100819617067859
88;27;31;-2.81;1.49;-2.15;1.5;0.6600757532283702
89;30;31;-1.92;1.88;-2.15;1.5;0.4441846462902561
90;32;31;-1.9;1.14;-2.15;1.5;0.4382921400162226
91;28;34;-3.01;1.11;-3.0;0.5;0.6100819617067859
92;33;34;-3.24;0.01;-3.0;0.5;0.5456189146281497
93;35;34;-2.76;0.01;-3.0;0.5;0.5456189146281497
94;29;5;-3.26;1.47;-4.53;1.44;1.2717328465067999
95;30;32;-1.92;1.88;-1.9;1.14;0.7402702209328699
96;31;32;-2.15;1.5;-1.9;1.14;0.4382921400162226
97;35;32;-2.76;0.01;-1.9;1.14;1.4200352108310552
98;32;35;-1.9;1.14;-2.76;0.01;1.4200352108310552
99;33;35;-3.24;0.01;-2.76;0.01;0.4800000000000004
100;34;35;-3.0;0.5;-2.76;0.01;0.5456189146281497
101;33;6;-3.24;0.01;-4.46;-0.03;1.2208966715349987
