timestamp,X-coordinate,Y-coordinate,Going to ID,Speed,power consumption,Cumulative energy consumption,current consuption,Heading,Target reached,RIGHT DRIVE SIGNALS.ActualSpeed_R,LEFT DRIVE SIGNALS.ActualSpeed_L,Target reached2,Current segment,Position confidence,Battery value,Safety - Circuit Opened,Safety - Front Emergency Stops Active,Safety - Front Emergency Bumper Active,CR collision detected,Safety - Front Scanner Protective Zone Active,Safety - Front Scanner Warning Zone Active
35:08.1,-4.536292,1.451914,5,0,236,17783.5,5184,-3.102274,1,0,0,1,260,100,66,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
35:08.2,-4.536292,1.451914,5,0,236,17783.5,5184,-3.102274,1,0,0,1,260,100,66,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
35:08.2,-4.536292,1.451914,5,0,236,17783.5,5184,-3.102274,1,0,0,1,260,100,66,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
35:08.2,-4.536292,1.451914,5,0,236,17783.5,5184,-3.102274,1,0,0,1,260,100,66,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
35:08.3,-4.536292,1.451914,5,0,236,17783.5,5184,-3.102274,1,0,0,1,260,100,66,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
35:08.3,-4.536292,1.451914,5,0,236,17783.5,5184,-3.102274,1,0,0,1,260,100,66,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
35:08.3,-4.536292,1.451914,5,0,236,17783.5,5184,-3.102274,1,0,0,1,260,100,66,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
35:08.4,-4.536292,1.451914,5,0,236,17783.5,5184,-3.102274,1,0,0,1,260,100,66,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
35:08.4,-4.536292,1.451914,5,0,236,17783.5,5184,-3.102274,1,0,0,1,260,100,66,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
35:08.4,-4.536292,1.451914,5,0,237,17818.98,5184,-3.102274,1,0,0,1,260,100,67,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
35:08.5,-4.536292,1.451914,5,0,237,17818.98,5184,-3.102274,1,0,0,1,260,100,67,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
35:08.5,-4.536292,1.451914,5,0,237,17818.98,5184,-3.102274,1,0,0,1,260,100,67,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
35:08.5,-4.536292,1.451914,5,0,237,17818.98,5184,-3.102274,1,0,0,1,260,100,67,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
35:08.5,-4.536292,1.451914,5,0,237,17818.98,5184,-3.102274,1,0,0,1,260,100,67,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
35:08.6,-4.536292,1.451914,5,0,237,17818.98,5184,-3.102274,1,0,0,1,260,100,67,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
35:08.6,-4.536292,1.451914,5,0,237,17818.98,5184,-3.102274,1,0,0,1,260,100,67,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
35:08.6,-4.536292,1.451914,5,0,237,17818.98,5184,-3.102274,1,0,0,1,260,100,67,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
35:08.7,-4.536292,1.451914,5,0,237,17818.98,5184,-3.102274,1,0,0,1,260,100,67,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
35:08.7,-4.536292,1.451914,5,0,237,17818.98,5184,-3.102274,1,0,0,1,260,100,67,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
35:08.7,-4.536292,1.451914,5,0,237,17818.98,5184,-3.102274,1,0,0,1,260,100,67,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
35:08.8,-4.536292,1.451914,5,0,237,17818.98,5184,-3.102274,1,0,0,1,260,100,67,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
35:08.8,-4.536292,1.451914,5,0,237,17818.98,5184,-3.102274,1,0,0,1,260,100,67,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
35:08.8,-4.536292,1.451914,5,0,237,17818.98,5184,-3.102274,1,0,0,1,260,100,67,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
35:08.9,-4.536292,1.451914,5,0,237,17818.98,5184,-3.102274,1,0,0,1,260,100,67,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
35:08.9,-4.536292,1.451914,5,0,237,17818.98,5184,-3.102274,1,0,0,1,260,100,67,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
35:08.9,-4.536292,1.451914,5,0,237,17818.98,5184,-3.102274,1,0,0,1,260,100,67,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
35:09.0,-4.536292,1.451914,5,0,237,17854.46,5184,-3.102274,1,0,0,1,260,100,67,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
35:09.0,-4.536292,1.451914,5,0,237,17854.46,5184,-3.102274,1,0,0,1,260,100,67,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
35:09.0,-4.536292,1.451914,5,0,237,17854.46,5184,-3.102274,1,0,0,1,260,100,67,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
35:09.0,-4.536292,1.451914,5,0,237,17854.46,5184,-3.102274,1,0,0,1,260,100,67,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
35:09.1,-4.536292,1.451914,5,0,237,17854.46,5184,-3.102274,1,0,0,1,260,100,67,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
35:09.1,-4.536292,1.451914,5,0,237,17854.46,5184,-3.102274,1,0,0,1,260,100,67,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
35:09.1,-4.536292,1.451914,5,0,237,17854.46,5184,-3.102274,1,0,0,1,260,100,67,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
35:09.2,-4.536292,1.451914,5,0,237,17854.46,5184,-3.102274,1,0,0,1,260,100,67,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
35:09.2,-4.536292,1.451914,5,0,237,17854.46,5184,-3.102274,1,0,0,1,260,100,67,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
35:09.2,-4.536292,1.451914,5,0,237,17854.46,5184,-3.102274,1,0,0,1,260,100,67,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
35:09.3,-4.536292,1.451914,5,0,237,17854.46,5184,-3.102274,1,0,0,1,260,100,67,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
35:09.3,-4.536292,1.451914,5,0,237,17854.46,5184,-3.102274,1,0,0,1,260,100,67,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
35:09.3,-4.536292,1.451914,5,0,237,17854.46,5184,-3.102274,1,0,0,1,260,100,67,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
35:09.4,-4.536292,1.451914,5,0,237,17854.46,5184,-3.102274,1,0,0,1,260,100,67,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
35:09.4,-4.536292,1.451914,5,0,237,17854.46,5184,-3.102274,1,0,0,1,260,100,67,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
35:09.4,-4.536292,1.451914,5,0,237,17854.46,5184,-3.102274,1,0,0,1,260,100,67,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
35:09.5,-4.536292,1.451914,5,0,237,17854.46,5184,-3.102274,1,0,0,1,260,100,67,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
35:09.5,-4.536292,1.451914,5,0,237,17889.55,5184,-3.102274,1,0,0,1,260,100,67,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
35:09.5,-4.536292,1.451914,5,0,237,17889.55,5184,-3.102274,1,0,0,1,260,100,67,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
35:09.5,-4.536292,1.451914,5,0,237,17889.55,5184,-3.102274,1,0,0,1,260,100,67,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
35:09.6,-4.536292,1.451914,5,0,237,17889.55,5184,-3.102274,1,0,0,1,260,100,67,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
35:09.6,-4.536292,1.451914,5,0,237,17889.55,5184,-3.102274,1,0,0,1,260,100,67,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
35:09.6,-4.536292,1.451914,5,0,237,17889.55,5184,-3.102274,1,0,0,1,260,100,67,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
35:09.7,-4.536292,1.451914,5,0,237,17889.55,5184,-3.102274,1,0,0,1,260,100,67,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
35:09.7,-4.536292,1.451914,5,0,237,17889.55,5184,-3.102274,1,0,0,1,260,100,67,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
35:09.7,-4.536292,1.451914,5,0,237,17889.55,5184,-3.102274,1,0,0,1,260,100,67,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
35:09.8,-4.536292,1.451914,5,0,237,17889.55,5184,-3.102274,1,0,0,1,260,100,67,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
35:09.8,-4.536292,1.451914,5,0,237,17889.55,5184,-3.102274,1,0,0,1,260,100,67,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
35:09.8,-4.536292,1.451914,5,0,237,17889.55,5184,-3.102274,1,0,0,1,260,100,67,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
35:09.9,-4.536292,1.451914,5,0,237,17889.55,5184,-3.102274,1,0,0,1,260,100,67,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
35:09.9,-4.536292,1.451914,5,0,237,17889.55,5184,-3.102274,1,0,0,1,260,100,67,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
