t_1hz,X-coordinate,Y-coordinate,Speed,power consumption,current consuption,Heading,Position confidence,Battery value,RIGHT DRIVE SIGNALS.ActualSpeed_R,LEFT DRIVE SIGNALS.ActualSpeed_L,energy_J_step,scanner_active,Going to ID,Current segment,t_sec,session,interval_check,is_1hz_ok
0,-3.1220324545454545,5.743989363636363,0.2987249818181818,288.1818181818182,6487.090909090909,1.5970639999999998,98.9090909090909,61.0,298.1818181818182,299.0,158.75999999996858,0.0,2.0,280.0,0,1,1.0,True
1,-3.125720818181818,6.003362818181818,0.29895702727272727,290.3636363636364,6542.818181818182,1.5976296363636364,99.0,61.0,299.0,298.45454545454544,308.88000000001045,0.0,2.0,276.0,1,1,1.0,True
2,-3.134338909090909,6.303647545454546,0.29915044545454544,293.1818181818182,6607.818181818182,1.5983221818181819,98.45454545454545,61.0,299.0,299.0,312.11999999998955,0.0,2.0,276.0,2,1,1.0,True
3,-3.1409447,6.5687167,0.29915817999999994,292.4,6591.0,1.5974263,98.8,61.0,299.0,299.0,314.2800000000105,0.0,2.0,276.0,3,1,1.0,True
4,-3.1471206666666665,6.8815463333333335,0.2992149,291.3333333333333,6568.166666666667,1.5977605,98.0,61.0,299.0,299.0,310.6800000000105,0.0,2.0,276.0,4,1,1.0,True
5,-3.1541965454545458,7.165990818181819,0.2990731,292.27272727272725,6579.727272727273,1.597477818181818,98.63636363636364,61.0,299.0,299.0,312.11999999998955,0.0,2.0,276.0,5,1,1.0,True
6,-3.160666,7.430987,0.29886035,292.0,6590.0,1.59695,99.0,61.0,299.0,298.5,152.63999999997904,0.0,2.0,276.0,6,1,1.0,True
7,-3.1670326363636363,7.709258636363637,0.29930513636363637,292.54545454545456,6593.636363636364,1.598316181818182,99.54545454545455,61.0,299.0,299.0,316.44000000003143,0.0,2.0,276.0,7,1,1.0,True
8,-3.1768249166666664,7.985361999999999,0.29878946666666667,292.25,6580.916666666667,1.5974153333333334,99.33333333333333,61.0,298.3333333333333,299.0,309.6,0.0,2.0,276.0,8,1,1.0,True
9,-3.1796325454545453,8.256605454545454,0.23150798181818183,287.0,6471.454545454545,1.521599181818182,99.45454545454545,61.0,163.63636363636363,299.0,302.03999999997905,0.0,2.0,276.0,9,1,1.0,True
10,-3.148991727272727,8.432299454545454,0.14708065454545455,283.54545454545456,6381.545454545455,1.1788781454545454,95.27272727272727,61.0,0.09090909090909091,293.8181818181818,304.560000000021,0.0,2.0,276.0,10,1,1.0,True
11,-3.0862127,8.5114982,0.089339045,284.6,6404.6,0.6077538600000001,93.2,61.0,-80.0,258.8,303.8400000000314,0.0,2.0,276.0,11,1,1.0,True
12,-2.996935,8.536398,0.12223849999999999,284.5,6409.0,0.10386389733333333,90.16666666666667,61.0,21.0,223.33333333333334,302.03999999997905,0.0,2.0,276.0,12,1,1.0,True
