t_1hz,X-coordinate,Y-coordinate,Speed,power consumption,current consuption,Heading,Position confidence,Battery value,RIGHT DRIVE SIGNALS.ActualSpeed_R,LEFT DRIVE SIGNALS.ActualSpeed_L,energy_J_step,scanner_active,Going to ID,Current segment,t_sec,session,interval_check,is_1hz_ok,node_id
0,-4.536292,1.451914,0.0,236.7,5184.0,-3.102274,100.0,66.7,0.0,0.0,255.45599999999686,0.0,5.0,260.0,0,2,1.0,True,5.0
1,-4.536292,1.451914,0.0,237.0,5184.0,-3.102274,100.0,67.0,0.0,0.0,126.32400000000052,0.0,5.0,260.0,1,2,1.0,True,5.0
2,-4.536292,1.451914,0.0,236.5,5173.0,-3.102274,100.0,67.0,0.0,0.0,249.15599999999688,0.0,5.0,260.0,2,2,1.0,True,5.0
3,-4.536292,1.451914,0.0,234.0,5135.6,-3.102274,100.0,67.0,0.0,0.0,251.7840000000084,0.0,5.0,260.0,3,2,1.0,True,5.0
4,-4.536292,1.451914,0.0,236.2,5169.6,-3.102274,100.0,67.0,0.0,0.0,249.73199999999633,0.0,5.0,260.0,4,2,1.0,True,5.0
5,-4.536764363636364,1.451914,0.0,236.45454545454547,5170.363636363636,-3.102274,100.0,67.0,0.0,0.0,252.93600000000734,0.0,5.0,260.0,5,2,1.0,True,5.0
6,-4.537591,1.451914,0.0,236.2,5184.0,-3.102274,100.0,66.2,0.0,0.0,255.45599999999686,0.0,5.0,260.0,6,2,1.0,True,5.0
7,-4.537591,1.451914,0.0,236.2,5183.0,-3.102274,100.0,66.2,0.0,0.0,251.31599999999162,0.0,5.0,260.0,7,2,1.0,True,5.0
8,-4.537591,1.451914,0.0,236.3,5178.6,-3.102274,100.0,67.0,0.0,0.0,251.1,0.0,5.0,260.0,8,2,1.0,True,5.0
9,-4.537591,1.451914,0.0,235.4,5152.7,-3.102274,100.0,66.9,0.0,0.0,249.12000000000262,0.0,5.0,260.0,9,2,1.0,True,5.0
10,-4.537591,1.451914,0.0,234.5,5144.0,-3.102274,100.0,66.0,0.0,0.0,127.22400000000053,0.0,5.0,260.0,10,2,1.0,True,5.0
11,-4.5362915,1.4519139999999997,0.0,243.33333333333334,5335.333333333333,-3.102274,100.0,66.5,0.0,0.0,256.86000000000786,0.0,6.0,262.0,11,2,1.0,True,5.0
12,-4.539264636363637,1.440302,0.00038674909090909084,274.72727272727275,6036.818181818182,-2.9525474545454546,98.36363636363636,66.0,89.81818181818181,-88.9090909090909,291.7439999999901,0.0,6.0,262.0,12,2,1.0,True,5.0
13,-4.5373470000000005,1.4363753333333333,0.000425424,276.1666666666667,6078.833333333333,-2.6501065,97.33333333333333,65.66666666666667,100.0,-99.0,292.8240000000005,0.0,6.0,262.0,13,2,1.0,True,5.0
14,-4.534001,1.4342620000000001,0.000425424,277.0,6097.75,-2.290664,96.5,65.75,100.0,-99.0,296.27999999999736,0.0,6.0,262.0,14,2,1.0,True,5.0
15,-4.519906727272727,1.4487004545454545,0.000425424,277.09090909090907,6099.636363636364,-1.9562576363636361,89.63636363636364,65.81818181818181,100.0,-99.0,294.0120000000068,0.0,6.0,262.0,15,2,1.0,True,5.0
16,-4.480496333333334,1.4627921666666666,0.000425424,278.0,6122.0,-1.6067296666666666,66.83333333333333,65.5,100.0,-99.0,297.3960000000021,0.0,6.0,262.0,16,2,1.0,True,5.0
17,-4.482759454545455,1.4379588181818181,0.000425424,277.45454545454544,6104.090909090909,-1.3124007272727274,57.72727272727273,65.63636363636364,100.0,-99.0,300.02400000000057,0.0,6.0,262.0,17,2,1.0,True,5.0
18,-4.423952000000001,1.436934,0.00042542350000000003,267.0,5868.0,-0.9508572000000001,53.0,66.0,64.5,-63.5,145.58399999999529,0.0,6.0,262.0,18,2,1.0,True,5.0
19,-4.415566666666667,1.452286,3.545191666666667e-05,246.5,5419.416666666667,-0.8403770333333332,69.75,66.0,2.4166666666666665,-2.3333333333333335,264.99600000000214,0.0,6.0,262.0,19,2,1.0,True,5.0
20,-4.422618181818182,1.457097,0.0,254.72727272727272,5591.454545454545,-0.834472,81.27272727272727,66.0,0.0,0.0,260.24400000000315,0.0,6.0,262.0,20,2,1.0,True,5.0
21,-4.4259398333333335,1.4294005,0.05509240833333332,274.5,6039.5,-0.6902833500000001,70.33333333333333,65.66666666666667,126.66666666666667,-16.666666666666668,290.951999999999,0.0,6.0,262.0,21,2,1.0,True,5.0
22,-4.434933090909091,1.3799953636363638,0.07854873999999999,276.45454545454544,6083.818181818182,-0.46114902727272733,56.81818181818182,65.54545454545455,156.36363636363637,0.45454545454545453,293.14800000000105,0.0,6.0,262.0,22,2,1.0,True,5.0
23,-4.37006275,1.3542500000000002,0.15956945333333333,286.5,6308.166666666667,-0.19651138166666668,41.416666666666664,65.0,249.75,69.33333333333333,307.15199999999896,0.0,6.0,262.0,23,2,1.0,True,5.0
24,-4.245852909090909,1.3553856363636363,0.25042006363636365,291.8181818181818,6428.636363636364,0.027105063636363638,47.27272727272727,65.0909090909091,298.90909090909093,201.36363636363637,312.69600000000213,0.0,6.0,262.0,24,2,1.0,True,5.0
25,-4.069707454545455,1.4135364545454545,0.10627865454545454,251.63636363636363,5533.727272727273,0.16158962727272727,23.272727272727273,66.0,108.36363636363636,104.36363636363636,262.7279999999985,0.0,6.0,262.0,25,2,1.0,True,5.0
26,-3.9874005454545456,1.433091,0.0,243.0909090909091,5326.636363636364,0.1970061181818182,40.36363636363637,66.0,0.0,0.0,131.6879999999932,0.0,6.0,262.0,26,2,1.0,True,5.0
27,-3.9610460000000005,1.433091,0.0,238.2,5226.8,0.1985928,93.6,66.4,0.0,0.0,255.56400000000576,0.0,6.0,262.0,27,2,1.0,True,5.0
28,-3.954276909090909,1.4334313636363636,0.03805610909090909,272.0,5983.272727272727,0.19221152727272728,98.18181818181819,65.72727272727273,28.0,48.0,268.02000000000265,0.0,6.0,266.0,28,2,1.0,True,5.0
29,-3.7970114545454545,1.448228181818182,0.2415635,292.54545454545456,6449.181818181818,0.09331038272727273,99.0,65.0,214.45454545454547,268.6363636363636,318.45599999999683,0.0,6.0,266.0,29,2,1.0,True,29.0
30,-3.523729545454546,1.4607095454545453,0.29280775454545455,293.0,6462.363636363636,0.033718727272727275,97.9090909090909,65.0,286.54545454545456,299.0,316.5839999999953,0.0,6.0,266.0,30,2,1.0,True,29.0
31,-3.264921363636364,1.4641046363636363,0.19240766363636366,283.0,6236.363636363636,-0.047524070909090915,97.36363636363636,65.0,110.72727272727273,274.09090909090907,301.0680000000037,0.0,6.0,206.0,31,2,1.0,True,29.0
32,-3.1579067272727275,1.4418014545454545,0.10268187636363636,285.3636363636364,6295.272727272727,-0.45494588181818185,98.45454545454545,65.0,-70.36363636363636,275.72727272727275,309.67200000000156,0.0,6.0,206.0,32,2,1.0,True,29.0
33,-3.080664,1.3573328181818183,0.13980976363636363,286.90909090909093,6326.909090909091,-1.1170781636363636,85.72727272727273,65.0,-12.090909090909092,291.72727272727275,305.6039999999979,0.0,6.0,210.0,33,2,1.0,True,29.0
34,-3.06533,1.2124570000000001,0.22760185000000002,297.0,6560.5,-1.494194,64.0,65.0,156.0,299.0,157.5,0.0,6.0,210.0,34,2,1.0,True,28.0
